full_phrase,refs
chairperson (112),
active member (33),
active membership roll (111.5),
active service (33),
associate (18),
associate pastor (139.3),
bivocational pastor (503.2),
called pastor (307.6),
church board (3),
church growth committee (148.1),
church membership (20),
church planter (503.2),
church year (115.1),
church-type mission (100.1),
church/pastoral relationship (119.1),
church/pastoral relationship review (119.1),
co-pastor (123),
fellowship member (110),
full members (156),
full membership (109),
fully organized church (22.3),
host pastor (239),
inactive member (111),
inactive membership (111),
inactive membership roll (111.2),
interim pastor (212.1),
lay worker (169),
licensed minister (211.1),
local church (22),
local minister (115.9),
member (20),
member in good standing (616.5),
membership (20),
membership roll (111.2),
minister (noun) (100.1),
minister of Christian education (226),
minister of music (512),
missionary (114.1),
operating staff (225.17),
organized church (22.3),
paid assistant (211.16),
pastoral arrangement (105),
pastoral assignment (122),
pastoral associate (211.13),
pastoral staff (139.1),
pastoral supply (139.5),
regular church/pastoral relationship review (119.1),
special church/pastoral relationship review (135),
steward (28.9),
supply pastor (118),
appointed status (119.1),
assigned minister (100.1),
assigned ordained minister (24),
assigned pastor (530.3),
assistant superintendent (209.3),
board of discipline (139.26),
chaplain (503.1),
chaplaincy (211.9),
clergy (100.1),
commissioned evangelist (205.4),
commissioned missionary (301),
commissioned roles of ministry (205.9),
credential (25.2),
deacon (201),
deaconess (139.2),
district assistant (244.2),
district chaplaincy director (211.9),
district interim assigned (518),
district license (124.4),
District licensed minister (124.4) ,
District ministries fund (200.2),
Educational institution (331.1),
Elder (025.4),
Evangelist (112.7),
Filed credential (530),
God-called evangelist (341),
Lay song evangelist (503.2),
member of the clergy,
Ordain (024),
Ordained deacon (525.4),
Ordained Elder (117),
Ordained Minister (024),
Paid district assistant (244.4),
recognition of credentials (527),
recovery team (211.2),
registered evangelist (112.7),
resigned (326.5),
retired assigned (201),
retired assigned minister (201),
retired minister (528),
retired unassigned (528.1),
return of credential (317.11),
roles of ministry (139.13),
rosters of ministers (114),
song evangelist (503.2),
sourcebook for ministerial development (510.7),
sponsoring district (200.2),
surrendered credential (530),
tenured evangelist,
Board of general superintendents (025.4),
Clergy development (139.1),
clergy misconduct (211.2),
field strategy coordinator (200.2),
General superintendent (025.4),
General superindent having [in] jurisdiction (100) [100.2],
Global ministry center (329.2),
Global missions (163.1),
Higher eductaion (201),
World evangelism fund (032.5),
Adult ministries (139.16),
Committee on the interests of the God-called Evangelist (341),
District advisory board (025.1),
District board of discipline (604.2),
District board of ministry (114),
District church properties board (103),
District court of appeals (205.22),
District evangelism board (205.2),
District ministerial credentials board (114),
District ministerial studies board (205.17),
Evangelism and church membership committee (109.1),
Finance committee 330.2,
International board of education (032.5),
International course of study advisory committee (342),
institution of higher education (201),
Investigating committee (125.8),
Local board of discipline (139.26),
Local church board (101.1),
National board (032.5),
Nazarene institution (201),
Nazarene missions international (115.9),
Nazarene youth interanational (115.9),
Pensions board (207.4),
Reference committee (305.1),
Search committee (335.17),
Standing committee (215),
Stewardship committee (150),
Nazarene discipleship international (240),
Approved mission specials (163.1),
Course of study (233.2),
Course of study advisory committee (233.2),
Leader (032.5),
Leadership (032.5),
Mission work (163.1),
outreach (021.3),
Pastoral care (521.3),
Pioneer area (200.2),
Quadrennial (343.1),
Self-assesment (211.21),
Thank offering (164.2),
To appoint (516),
Validated course of study (233.2),
vision (for something) (210),
Youth ministry (160),
Bible quizzing (158),
Childcare and school(birth through secondary) (126),
Children church (158),
Children's ministries council (158),
Children's ministries coordinator (158),
Children's mission coordinator (158.2),
Continuing lay training (157.6),
Cradle roll (158),
Missionary outreach efforts (346.1),
Pensions and benefits program (207.4),
"apostolic faith, Historical statement, article of faith (001)",
Baptism with the Holy Spirit (005.1),
Christian holiness (Historical statement),
 Christian perfection (Historical statement),
Christian stewardship (032),
Christlike,
Christlikeness,
Compassionate ministry (255.15),
Core values (foreword),
entire sanctification (foreword),
Holiness movement (400.1),
Holiness people (historical statement),
kindred activities (166),
Laity (211.2),
Lay delegate (025),
Lay Evagelist,
Lay leader (148.2),
Lay member (523),
Lay minister (503.2),
Lay ministry (503.2),
Lay president (201),
Lay service (169),
Layperson (532.11),
Membership vow (600),
Ministerial credential (510.3),
Missionary candidates (346.2) (5),
Missionary organization (520.1),
Missionary work (114.1),
Ordination (205.18),
Pastoral call (133.5),
Revivalism (341),
Sacraments and rituals (00),
Sermon on the mount (028.1),
Stewardship (925),
To make Christlike disciples in the nations (521),
To minister (verb) (500),
Wesleyan-holiness (210),
Wesleyan revival (historical statement) ,
Witness of the Spirit (Historical statement),
Alternate delegate (025.1),
ballot (133.4),
Board of Tellers (134),
Caucus (305.2),
Chairperson (201),
Chief executive officer (169.5),
Conduct unbecoming a minister (225.5),
Constituency (920),
Delegate (022.3),
Delegate-elect (301.4),
Electing ballot (205.23),
Executive committee (158.2),
Good standing (511.1),
Letter of release (114.2),
Majority Vote (217),
Minutes (217),
To nominate (211.7),
Nominating ballot (205.23),
Nominating committee (115.1),
Nomination (112.7),
Nominee (115.1),
Plurality vote (025.1),
Polity (033),
Presiding officer (025.5),
Sole-member (338),
To chair (verb) (157.1),
Trustee (151),
"""Yes"" or ""No"" ballot vote (205.12)",
"""Yes"" or ""No"" vote (156)",
School (birth through secondary) (126),
Vetted (211.1),
